episode,reinforce_no_baseline,reinforce_no_baseline_x_delta,reinforce_baseline_10.0,reinforce_baseline_10.0_x_delta,reinforce_baseline_20.0,reinforce_baseline_20.0_x_delta,reinforce_baseline_50.0,reinforce_baseline_50.0_x_delta,actor_critic,actor_critic_x_delta
64,4.188598621254583,-0.062246363953547316,65.22327189038033,0.2026388151643939,4.3726154421719095,-0.020878350000260528,136.65805676929975,0.5185480340208077,2.9869025099070945,-0.04793538243596388
65,2.5011737674227503,-0.051811734821517345,20.68384865034392,0.005839219807656205,25.32985974737083,0.0030418733560303923,131.60628728715182,0.4861298804686547,43.226780137064466,0.12244116928579339
66,6.0782228347148495,-0.05513631891053042,65.08278777944079,0.201481029923362,10.145318829917876,-0.014599871802139532,114.2173510219074,0.4188121796562008,43.36430589780835,0.1235075295227073
67,5.2843099330371865,-0.04548934334492188,66.61267561782562,0.20571290883359616,4.728595357636889,-0.018025474086918184,112.15447177010697,0.4103341471219001,39.41478941537515,0.10790364861024032
68,3.2020295013285645,-0.04619056464664383,9.591070325642924,-0.03500085020327488,22.160388117388113,-0.014275699807522945,117.26897092047474,0.4353369926388377,45.57394337759738,0.13317651819692644
69,8.29523680303735,-0.05335525007452629,35.76077373863046,0.054669708232942,17.242835792563735,-0.013686413000882629,61.054948851562166,0.1532112479866078,44.09295026898131,0.12933498546407582
70,6.710815197787225,-0.042081923675842764,68.7245871136829,0.21462421678594332,14.395399519156987,-0.020497251112369098,102.68854529928423,0.3666056217460042,47.85693943353351,0.15146649517121763
71,7.405852706330365,-0.04451299042687936,10.218494265946134,-0.02199588616154685,6.254272106111956,-0.021787849344007865,108.83701165645908,0.39976944944521514,48.71794075657468,0.15041836708653297
72,10.154166916059223,-0.07836180585824037,4.997033561884064,-0.039819157234679076,24.46244680174504,0.012091325318520437,119.48140536633593,0.4450870901787649,43.61908845522953,0.12559131266808143
73,9.448646024979265,-0.06809694853085589,64.85543450341086,0.1996835583608517,5.449871650935389,-0.020238488365163974,94.46195446926208,0.32468251712845597,47.667793995326534,0.14995346545653157
74,3.8708526107758714,-0.032859394163536684,68.57663256902268,0.2134706022554057,4.5115538040429755,-0.01976070806596247,88.0383591190701,0.2973013569499059,47.22980199032306,0.14648824609798441
75,9.376125755005814,-0.08458990618567676,68.23886275815951,0.21073866098117716,4.322316019975537,-0.021270504684739164,107.60990204997164,0.389982035986527,45.126838919872434,0.1376159281997235
76,5.334659043933815,-0.037137183302673765,65.13696519280487,0.20195361232765632,7.384033208583782,-0.020725185312469894,97.75086503309294,0.3430912108988991,46.17426869900815,0.14601482642521801
77,10.578865201763467,-0.11487222863251244,66.6447841499204,0.20602469281224767,7.002204893854837,-0.015781494052667773,105.80936546861855,0.38359793740651826,45.336547773242074,0.1393303082017905
78,9.97892706098971,-0.11170560759521984,65.06100872299174,0.2012948615615448,8.540245697977797,-0.019451520442941544,93.39543432922667,0.32420703032648623,45.82848115948866,0.14323712700685093
79,10.325459278386658,-0.11696938843789244,66.94936524921783,0.20846505869628024,6.7733351019249195,-0.02557684251719647,100.49106881496758,0.35705898271540426,45.71965887261495,0.14238911084755784
80,9.580323376944504,-0.07495628470189698,65.2069120211002,0.2024945211596462,9.234241683617997,-0.021879045160168278,92.70297200865102,0.3185693727918111,45.880558893250196,0.14365647916068058
81,10.38711273200706,-0.13234360379732485,65.2789387121101,0.20312891906158131,7.044701699887373,-0.015459904512129962,95.59511032972226,0.33374069386843747,45.70700372427662,0.14227750629186312
82,10.697046855494778,-0.13788608472501915,63.55531620588822,0.1972693119862018,8.716129482909244,-0.018055377665168428,99.80282120796159,0.3594679106156122,44.67404574996692,0.14200350023511743
83,10.76252455513126,-0.12937555963671638,65.08539589733527,0.2015072220912493,9.622364489229987,-0.01878366573975506,89.89545157502434,0.3041751836985223,43.25913719264608,0.1306483344672474
84,9.643638746482068,-0.09040701029315049,63.199451145833336,0.1944360714908091,4.558475629626847,-0.019376116182810973,80.6928380439878,0.26251636122906247,43.93561183308945,0.13608401527399916
85,10.652663903887282,-0.13818297518018713,66.76128727080206,0.20696369109358626,7.591966352580844,-0.01905451817799521,105.10048283983593,0.3777856306334592,42.77225874882316,0.12678374510998525
86,10.486135941345239,-0.12356675298818948,67.10800788169564,0.2097693007015753,4.531148041407601,-0.01960944476381671,116.07596455862003,0.4336775409938396,44.46558104487398,0.140333581357649
87,10.173322642658226,-0.15798603276654824,65.26446262431031,0.20294741872405106,4.6383462126402994,-0.018727690980792886,111.61401670742156,0.4140104126873115,44.18698217443824,0.1381005470036031
88,11.934402542542179,-0.13589589637604746,66.52293980795584,0.20504896463826833,22.030672750531696,0.008651267945759026,140.28006974045385,0.5476551021064082,44.14316323856999,0.13773191287648592
89,10.888862311195563,-0.12029712881985323,68.1040909748542,0.20976143889464344,22.532040154092037,0.012665474792421041,137.20005598500472,0.5309765477020822,44.176419059741896,0.13799937465944612
90,9.59594997349563,-0.21046872326920962,68.23439743082324,0.21080646914041823,6.914616019100944,-0.016511593896142644,119.48444080557185,0.4530802660218682,44.33209523096743,0.13925514580846327
91,10.793370686062532,-0.12906860225384745,71.54460586605609,0.22132296061977877,28.534250561629413,0.036745280770577426,160.85931342557103,0.6324699189407844,41.557035883500156,0.1250310199295201
